stock_code,timestamp,open,high,low,close,volume,turnover
SPY.US,2019-05-06,289.25,293.31,288.9,292.82,107198069,0.0
SPY.US,2019-05-07,290.15,290.81,285.81,287.93,144729908,0.0
SPY.US,2019-05-08,287.53,289.43,286.87,287.53,91568287,0.0
SPY.US,2019-05-09,285.23,287.33,283.3,286.66,103471104,0.0
SPY.US,2019-05-10,285.62,288.94,282.3,288.1,112429293,0.0
SPY.US,2019-05-13,282.42,283.49,279.93,280.86,127290527,0.0
SPY.US,2019-05-14,281.99,285.1,281.85,283.4,77003230,0.0
SPY.US,2019-05-15,281.59,285.77,281.36,285.06,73956407,0.0
SPY.US,2019-05-16,285.84,289.21,285.76,287.7,76749643,0.0
SPY.US,2019-05-17,285.14,288.6,285.121,285.84,100353024,0.0
SPY.US,2019-05-20,284.06,285.43,283.12,283.95,62877610,0.0
SPY.US,2019-05-21,285.83,286.93,285.55,286.51,46847085,0.0
SPY.US,2019-05-22,285.45,286.69,285.1,285.63,49482472,0.0
SPY.US,2019-05-23,283.16,283.21,280.57,282.14,98733847,0.0
SPY.US,2019-05-24,283.74,284.2,282.09,282.78,55268095,0.0
SPY.US,2019-05-28,283.09,284.15,280.13,280.15,70029356,0.0
SPY.US,2019-05-29,278.91,279.36,276.71,278.27,104972927,0.0
SPY.US,2019-05-30,279.11,280.04,277.805,279.03,62523780,0.0
SPY.US,2019-05-31,276.2,277.12,275.24,275.27,86862782,0.0
SPY.US,2019-06-03,275.31,276.552,273.09,274.57,96427952,0.0
SPY.US,2019-06-04,277.12,280.68,276.62,280.53,77231889,0.0
SPY.US,2019-06-05,282.33,282.99,280.32,282.96,71169717,0.0
SPY.US,2019-06-06,283.29,285.55,282.57,284.8,69430381,0.0
SPY.US,2019-06-07,285.93,288.85,285.74,287.65,74272199,0.0
SPY.US,2019-06-10,289.37,290.82,288.873,288.97,60799053,0.0
SPY.US,2019-06-11,290.99,291.4,288.18,288.9,58641325,0.0
SPY.US,2019-06-12,288.64,289.26,287.815,288.39,47096312,0.0
SPY.US,2019-06-13,289.4,289.98,288.62,289.58,48945156,0.0
SPY.US,2019-06-14,289.26,289.93,288.41,289.26,52324716,0.0
SPY.US,2019-06-17,289.52,290.22,289.18,289.37,39205709,0.0
SPY.US,2019-06-18,291.39,293.57,290.99,292.4,85434823,0.0
SPY.US,2019-06-19,292.55,293.65,291.47,293.06,78674377,0.0
SPY.US,2019-06-20,296.04,296.309,293.125,295.86,116570017,0.0
SPY.US,2019-06-21,294.13,295.52,293.76,294.0,83309466,0.0
